category_name,duration_seconds,is_short,default_language,publish_hour_slt,publish_dow_slt,publish_is_weekend,tag_count,ch_subs_at_publish,ch_videos_at_publish,channel_age_days_at_publish,d21_views,publish_time_bucket,subscriber_tier,ch_avg_views_per_video_at_publish,topic_entertainment,topic_fashion,topic_food,topic_gaming,topic_health,topic_hobby,topic_humour,topic_knowledge,topic_lifestyle,topic_music,topic_pet,topic_politics,topic_religion,topic_society,topic_sports,topic_technology,topic_tourism,topic_vehicle,topic_missing
News & Politics,58.0,True,si,7,0,False,37,131000.0,34126.0,4056.798460648148,12.0,morning_afternoon,100k_to_250k,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,1760.0,False,en,9,2,False,25,139000.0,3534.0,3837.890648148148,754.0,morning_afternoon,100k_to_250k,,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Music,39.0,True,en,22,0,False,0,4050000.0,1572.0,3792.9530208333335,88372.0,late_night,1m_plus,562336.0235368956,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Film & Animation,61.0,False,si,13,6,True,35,501000.0,3324.0,1502.756232237361,803.0,morning_afternoon,500k_to_1m,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
News & Politics,481.0,False,si,16,6,True,35,529000.0,6167.0,1731.854020722442,12873.0,evening,500k_to_1m,41144.05205124048,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,66.0,False,si,7,1,False,18,3870000.0,181243.0,4304.798206018519,91.0,morning_afternoon,1m_plus,14299.714526905867,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Music,42.0,True,en,21,1,False,0,4050000.0,1572.0,3786.907118055556,41617.0,late_night,1m_plus,,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Entertainment,104.0,False,si,15,5,True,11,3240000.0,37465.0,3060.164513888889,1933.0,evening,1m_plus,66568.11074336046,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
News & Politics,46.0,True,si,10,2,False,19,3760000.0,163923.0,3836.724710648148,299.0,morning_afternoon,1m_plus,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Travel & Events,33.0,True,en,10,1,False,0,530.0,96.0,334.9080432415741,1796.0,morning_afternoon,under_1k,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Education,18724.0,False,en,19,0,False,21,2320.0,512.0,2688.3103935185186,568.0,evening,1k_to_10k,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Sports,2548.0,False,ta,0,1,False,16,89100.0,2895.0,6653.298564814815,6818.0,early_morning,10k_to_100k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Music,39.0,True,en,22,0,False,0,4050000.0,1572.0,3792.9504166666666,16819.0,late_night,1m_plus,562336.0235368956,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
