category_name,duration_seconds,is_short,default_language,publish_hour_slt,publish_dow_slt,publish_is_weekend,tag_count,ch_subs_at_publish,ch_videos_at_publish,channel_age_days_at_publish,d14_views,publish_time_bucket,subscriber_tier,ch_avg_views_per_video_at_publish,topic_entertainment,topic_fashion,topic_food,topic_gaming,topic_health,topic_hobby,topic_humour,topic_knowledge,topic_lifestyle,topic_music,topic_pet,topic_politics,topic_religion,topic_society,topic_sports,topic_technology,topic_tourism,topic_vehicle,topic_missing
News & Politics,422.0,False,si,16,5,True,19,3770000.0,165039.0,3846.990706018519,711.0,evening,1m_plus,16554.7598628203,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Music,39.0,True,en,22,0,False,0,4050000.0,1572.0,3792.9530208333335,79927.0,late_night,1m_plus,562336.0235368956,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
News & Politics,56.0,True,si,7,3,False,18,3870000.0,181440.0,4306.81837962963,376.0,morning_afternoon,1m_plus,14296.534738756614,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Education,6.0,True,si,6,1,False,0,521000.0,5482.0,1176.3833201334028,116495.0,morning_afternoon,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
News & Politics,481.0,False,si,16,6,True,35,529000.0,6167.0,1731.854020722442,12868.0,evening,500k_to_1m,41144.05205124048,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,66.0,False,si,7,1,False,18,3870000.0,181243.0,4304.798206018519,91.0,morning_afternoon,1m_plus,14299.714526905867,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Entertainment,104.0,False,si,15,5,True,11,3240000.0,37465.0,3060.164513888889,1922.0,evening,1m_plus,66568.11074336046,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Entertainment,43.0,True,si,17,1,False,21,3250000.0,37529.0,3063.2477777777776,9955.0,evening,1m_plus,66542.73828239494,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
News & Politics,1340.0,False,si,17,5,True,35,7430.0,643.0,6205.695659722222,57.0,evening,1k_to_10k,1791.1010886469674,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Travel & Events,33.0,True,en,10,1,False,0,530.0,96.0,334.9080432415741,1794.0,morning_afternoon,under_1k,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Education,19.0,True,en,7,1,False,40,65000.0,920.0,1321.407542702245,1389.0,morning_afternoon,10k_to_100k,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Entertainment,77.0,False,ta,19,2,False,0,1380000.0,2278.0,1535.945167543391,143911.0,evening,1m_plus,567887.2102721686,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
People & Blogs,371.0,False,en,14,3,False,12,39.0,4.0,9.949310015173612,27.0,morning_afternoon,under_1k,1134.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Education,49.0,True,si,10,1,False,22,1180.0,446.0,4011.9670254629623,390.0,morning_afternoon,1k_to_10k,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Autos & Vehicles,60.0,True,en,18,6,True,0,31700.0,92.0,4553.257858796296,191.0,evening,10k_to_100k,,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
Education,18724.0,False,en,19,0,False,21,2320.0,512.0,2688.3103935185186,567.0,evening,1k_to_10k,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Sports,2548.0,False,ta,0,1,False,16,89100.0,2895.0,6653.298564814815,6812.0,early_morning,10k_to_100k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
News & Politics,110.0,False,si,14,0,False,18,3870000.0,181889.0,4311.091006944444,477.0,morning_afternoon,1m_plus,14293.590530488374,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Music,39.0,True,en,22,0,False,0,4050000.0,1572.0,3792.9504166666666,16680.0,late_night,1m_plus,562336.0235368956,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Science & Technology,369.0,False,si,16,5,True,19,167000.0,4715.0,6311.640266203704,169.0,evening,100k_to_250k,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
People & Blogs,78.0,False,ta,18,0,False,0,118000.0,2011.0,1888.239643154433,71550.0,evening,100k_to_250k,20244.92043759324,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Education,56.0,True,si,18,0,False,0,1730.0,174.0,2255.254896303333,243.0,evening,1k_to_10k,,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
News & Politics,549.0,False,si,12,1,False,36,530000.0,6242.0,1740.6624582224422,25490.0,morning_afternoon,500k_to_1m,40954.907081063764,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,84.0,False,si,10,5,True,18,3870000.0,180979.0,4301.96125,1830.0,morning_afternoon,1m_plus,14298.614761933704,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,209.0,False,si,14,6,True,41,918000.0,65321.0,2540.175902777778,2987.0,morning_afternoon,500k_to_1m,9281.723978506147,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Education,40.0,True,en-US,17,3,False,28,73600.0,2328.0,1256.7841578675464,4101.0,evening,10k_to_100k,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Entertainment,1203.0,False,en,21,0,False,24,5300000.0,12023.0,4261.235069444445,234110.0,late_night,1m_plus,364144.08350661234,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Entertainment,1105.0,False,en,19,4,False,26,85300.0,1430.0,3119.0294328703703,107.0,evening,10k_to_100k,40228.80979020979,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Entertainment,261.0,False,si,3,6,True,29,1470000.0,14882.0,5468.6171875,366.0,early_morning,1m_plus,50820.840680016125,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
News & Politics,514.0,False,si,10,4,False,41,919000.0,65577.0,2545.0069444444443,969.0,morning_afternoon,500k_to_1m,9266.226420848774,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Sports,514.0,False,en,9,5,True,20,27600.0,323.0,805.6869944315278,7194.0,morning_afternoon,10k_to_100k,6089.0185758513935,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
News & Politics,90.0,False,si,10,0,False,19,3760000.0,164000.0,3841.750578703704,337.0,morning_afternoon,1m_plus,16606.231286585367,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Music,44.0,True,en,15,4,False,5,49400.0,114.0,1854.725048183924,1254.0,evening,10k_to_100k,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
