category_name,duration_seconds,is_short,default_language,publish_hour_slt,publish_dow_slt,publish_is_weekend,tag_count,ch_subs_at_publish,ch_videos_at_publish,channel_age_days_at_publish,d30_views,publish_time_bucket,subscriber_tier,ch_avg_views_per_video_at_publish,topic_entertainment,topic_fashion,topic_food,topic_gaming,topic_health,topic_hobby,topic_humour,topic_knowledge,topic_lifestyle,topic_music,topic_pet,topic_politics,topic_religion,topic_society,topic_sports,topic_technology,topic_tourism,topic_vehicle,topic_missing
Music,23.0,True,en-US,14,5,True,0,1910000.0,445.0,2342.006496166794,25328.0,morning_afternoon,1m_plus,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Autos & Vehicles,11.0,True,en-US,8,4,False,0,5620.0,258.0,1210.3484913258796,1955.0,morning_afternoon,1k_to_10k,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
News & Politics,145.0,False,si,7,2,False,37,131000.0,34126.0,4051.795219907408,6.0,morning_afternoon,100k_to_250k,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Education,6977.0,False,en,22,3,False,16,6490.0,117.0,568.4527443183102,3111.0,late_night,1k_to_10k,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
News & Politics,477.0,False,si,9,5,True,26,57.0,134.0,450.8249931159838,0.0,morning_afternoon,under_1k,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Travel & Events,16.0,True,si,10,5,True,0,88000.0,5448.0,1879.490195143773,16750.0,morning_afternoon,10k_to_100k,,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
Gaming,16590.0,False,en,14,6,True,28,9010.0,512.0,1892.057516652986,458.0,morning_afternoon,1k_to_10k,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Entertainment,1189.0,False,en,19,0,False,26,6550000.0,33954.0,5275.102719907408,17348.0,evening,1m_plus,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Entertainment,54.0,True,si,13,4,False,28,5290000.0,57691.0,4063.0571064814817,3787.0,morning_afternoon,1m_plus,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
People & Blogs,59.0,True,si,23,5,True,0,69700.0,816.0,2059.5731199362504,483.0,late_night,10k_to_100k,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
News & Politics,487.0,False,si,8,0,False,36,529000.0,6160.0,1718.5177475742942,9084.0,morning_afternoon,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Education,80.0,False,si,20,5,True,6,3290.0,158.0,695.2049073361343,193.0,evening,1k_to_10k,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Entertainment,1096.0,False,si,13,4,False,20,1130000.0,11595.0,3469.113865740741,212.0,morning_afternoon,1m_plus,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Education,746.0,False,si,19,0,False,16,71200.0,239.0,535.3690588613541,6664.0,evening,10k_to_100k,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
