category_name,duration_seconds,is_short,default_language,publish_hour_slt,publish_dow_slt,publish_is_weekend,tag_count,ch_subs_at_publish,ch_videos_at_publish,channel_age_days_at_publish,d7_views,publish_time_bucket,subscriber_tier,ch_avg_views_per_video_at_publish,topic_entertainment,topic_fashion,topic_food,topic_gaming,topic_health,topic_hobby,topic_humour,topic_knowledge,topic_lifestyle,topic_music,topic_pet,topic_politics,topic_religion,topic_society,topic_sports,topic_technology,topic_tourism,topic_vehicle,topic_missing
News & Politics,192.0,False,si,12,5,True,19,3770000.0,166050.0,3853.826724537037,1042.0,morning_afternoon,1m_plus,16504.982396868414,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,422.0,False,si,16,5,True,19,3770000.0,165039.0,3846.990706018519,711.0,evening,1m_plus,16554.7598628203,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Music,39.0,True,en,22,0,False,0,4050000.0,1572.0,3792.9530208333335,71488.0,late_night,1m_plus,562336.0235368956,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
News & Politics,56.0,True,si,7,3,False,18,3870000.0,181440.0,4306.81837962963,372.0,morning_afternoon,1m_plus,14296.534738756614,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
News & Politics,9.0,True,si,21,3,False,0,3160.0,407.0,331.2789260006134,24.0,late_night,1k_to_10k,5890.27027027027,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Education,6.0,True,si,6,1,False,0,521000.0,5482.0,1176.3833201334028,116414.0,morning_afternoon,500k_to_1m,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
News & Politics,66.0,False,si,7,1,False,18,3870000.0,181243.0,4304.798206018519,90.0,morning_afternoon,1m_plus,14299.714526905867,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Education,41.0,True,si,16,1,False,22,107000.0,844.0,5309.807453703704,231.0,evening,100k_to_250k,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
News & Politics,992.0,False,si,20,0,False,19,3780000.0,166337.0,3856.142025462963,45391.0,evening,1m_plus,16476.50448787702,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
,2568.0,False,en,18,0,False,0,7340.0,795.0,1440.817337085764,9.0,evening,1k_to_10k,561.2792452830189,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Entertainment,80.0,False,si,11,2,False,23,6560000.0,34157.0,5297.78318287037,54962.0,morning_afternoon,1m_plus,178866.7305676728,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
News & Politics,507.0,False,en,10,1,False,14,114000.0,879.0,3189.9684837962964,902.0,morning_afternoon,100k_to_250k,17061.003412969283,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
