video_id,captured_at,view_count,like_count,comment_count,live_broadcast_content,live_actual_start_time,live_actual_end_time,live_concurrent_viewers
ZFehDfRMRT4,2026-07-17T19:09:31.339265+00:00,6004,73,0,none,2026-07-17T16:28:46Z,2026-07-17T17:12:07Z,
tEYpBWO1VZE,2026-07-17T19:09:31.339265+00:00,13555,81,27,none,,,
Y7EAFkuv5yQ,2026-07-17T19:09:31.339265+00:00,569,5,0,none,,,
AJ_YnhE2lJQ,2026-07-17T19:09:31.339265+00:00,198,4,2,none,,,
hIEoGy7OS84,2026-07-17T19:09:31.339265+00:00,3108,42,0,none,,,
TamX-R77t60,2026-07-17T19:09:31.339265+00:00,935,50,4,none,,,
cyysDgxlsgw,2026-07-17T19:09:31.339265+00:00,1723,13,1,none,,,
-gRxBhubSoM,2026-07-17T19:09:31.339265+00:00,0,48,8,upcoming,,,
FN2dBAqzNec,2026-07-17T19:09:31.339265+00:00,539,6,4,none,,,
MYXqD3icmRE,2026-07-17T19:09:31.339265+00:00,2647,29,2,none,2026-07-16T17:10:36Z,2026-07-16T18:26:27Z,
9Yh8XiObzmM,2026-07-17T19:09:31.339265+00:00,498,4,5,none,,,
tAE67UkyhKw,2026-07-17T19:09:31.339265+00:00,3605,40,6,none,,,
iqbYvJ5qR30,2026-07-17T19:09:31.339265+00:00,531,9,0,none,,,
aUS6Gw3RCcE,2026-07-17T19:09:31.339265+00:00,591,5,0,none,,,
2V_dpDnxGp8,2026-07-17T19:09:31.339265+00:00,1196,32,3,none,,,
FPPq3Tns1h4,2026-07-17T19:09:31.339265+00:00,1842,170,6,none,,,
4SlkN9XnLcA,2026-07-17T19:09:31.339265+00:00,65,1,0,none,,,
RS2t02C08o0,2026-07-17T19:09:31.339265+00:00,3142,38,16,none,,,
wrWukBgznJY,2026-07-17T19:09:31.339265+00:00,27890,3500,260,none,,,
zVcMSXaBGPo,2026-07-17T19:09:31.339265+00:00,83,1,0,none,,,
mFMp8jYV9VI,2026-07-17T19:09:31.339265+00:00,206,3,3,none,,,
m0Lx7DOkhgk,2026-07-17T19:09:31.339265+00:00,1133,16,0,none,,,
X-q5enLHtS0,2026-07-17T19:09:31.339265+00:00,28931,2169,25,none,,,
iL2oyyNX03c,2026-07-17T19:09:31.339265+00:00,47,0,0,none,,,
bCVaTFlhA6k,2026-07-17T19:09:31.339265+00:00,14557,184,1,none,,,
sO64ETHBF9k,2026-07-17T19:09:31.339265+00:00,2627,38,0,none,,,
WOSU830uOz4,2026-07-17T19:09:31.339265+00:00,281,2,0,none,,,
V7hMIUGi8ik,2026-07-17T19:09:31.339265+00:00,1163,43,0,none,,,
fEMdMMVQlbw,2026-07-17T19:09:31.339265+00:00,11630,500,223,none,,,
p1wJV_YifAw,2026-07-17T19:09:31.339265+00:00,369,6,0,none,,,
_V4siqbAeJw,2026-07-17T19:09:31.339265+00:00,452,5,0,none,,,
naLBmE6-RQQ,2026-07-17T19:09:31.339265+00:00,446,14,2,none,,,
X3SxbaOGRWY,2026-07-17T19:09:31.339265+00:00,231,2,0,none,,,
F3BG44qeVCE,2026-07-17T19:09:31.339265+00:00,342,0,0,none,,,
U8zx508tQnI,2026-07-17T19:09:31.339265+00:00,230,3,0,none,,,
_m2GPROmFrg,2026-07-17T19:09:31.339265+00:00,248,3,2,none,,,
etJXc7m4Tj8,2026-07-17T19:09:31.339265+00:00,91876,3330,99,none,2026-07-17T15:00:06Z,2026-07-17T15:22:23Z,
zLPeDGGjVu8,2026-07-17T19:09:31.339265+00:00,85300,2713,113,none,2026-07-17T15:30:07Z,2026-07-17T15:52:11Z,
6enWlhhwXF0,2026-07-17T19:09:31.339265+00:00,1007,13,0,none,,,
9wCb5xv-aAU,2026-07-17T19:09:31.339265+00:00,112,0,0,none,,,
YvVrUzKEEq0,2026-07-17T19:09:31.339265+00:00,404,2,2,none,,,
eic-H9LS4Ug,2026-07-17T19:09:31.339265+00:00,7149,184,0,none,,,
2wXCElmbtX0,2026-07-17T19:09:31.339265+00:00,133,7,10,none,,,
CrYCln2QWfg,2026-07-17T19:09:31.339265+00:00,6251,206,4,none,,,
PcLWlSdRAuQ,2026-07-17T19:09:31.339265+00:00,91053,3803,112,none,2026-07-17T15:08:51Z,2026-07-17T15:30:19Z,
cMTAKtovc3Q,2026-07-17T19:09:31.339265+00:00,617,6,0,none,,,
bihz7svTj0g,2026-07-17T19:09:31.339265+00:00,3210,50,1,none,,,
S9-OwXz8PFc,2026-07-17T19:09:31.339265+00:00,21653,380,2,none,,,
Ee1tM2sNLyY,2026-07-17T19:09:31.339265+00:00,329,6,0,none,,,
edQj-U4540k,2026-07-17T19:09:31.339265+00:00,670,18,0,none,,,
ZMgKuehXDhE,2026-07-17T19:09:31.339265+00:00,1294,31,1,none,,,
AzhL6--u9I8,2026-07-17T19:09:31.339265+00:00,1827,15,0,none,,,
0ag2SSRYziM,2026-07-17T19:09:31.339265+00:00,106,3,1,none,,,
DgsaQBcaawE,2026-07-17T19:09:31.339265+00:00,244,4,0,none,,,
JxVZMvee0HA,2026-07-17T19:09:31.339265+00:00,71,0,0,none,,,
uPI1JoVlQAo,2026-07-17T19:09:31.339265+00:00,203,3,1,none,,,
9wGHbZf-Zv8,2026-07-17T19:09:31.339265+00:00,7758,36,10,none,,,
xK-xYMeUm1A,2026-07-17T19:09:31.339265+00:00,289,2,0,none,2026-07-16T14:00:41Z,2026-07-16T14:24:03Z,
mYSOjGum5PI,2026-07-17T19:09:31.339265+00:00,42,1,0,none,,,
vItR3MM4kdE,2026-07-17T19:09:31.339265+00:00,5860,45,8,none,,,
Iq01E-cJ58k,2026-07-17T19:09:31.339265+00:00,153820,10716,335,none,2026-07-17T16:15:06Z,2026-07-17T16:38:04Z,
W5YHbgAlUY8,2026-07-17T19:09:31.339265+00:00,1786,54,3,none,,,
g89tLOf4Z_4,2026-07-17T19:09:31.339265+00:00,166,1,0,none,,,
ozYHEhqOMQQ,2026-07-17T19:09:31.339265+00:00,2082,42,6,none,2026-07-17T12:30:26Z,2026-07-17T12:33:19Z,
KVkj0i9GLbU,2026-07-17T19:09:31.339265+00:00,1895,49,0,none,,,
5THCfAtYhqY,2026-07-17T19:09:31.339265+00:00,346,3,0,none,2026-07-17T06:38:36Z,2026-07-17T06:43:43Z,
6sICtkdHhLQ,2026-07-17T19:09:31.339265+00:00,222,4,1,none,,,
y5kQ_YsdHKw,2026-07-17T19:09:31.339265+00:00,2781,15,21,none,,,
CFDYnvFqkaQ,2026-07-17T19:09:31.339265+00:00,2430,117,4,none,,,
RHI-FZM7r-Q,2026-07-17T19:09:31.339265+00:00,2247,20,6,none,,,
wUfDliO8IiM,2026-07-17T19:09:31.339265+00:00,30267,1125,77,none,2026-07-17T14:10:06Z,2026-07-17T14:32:30Z,
eNd3FIx_TNw,2026-07-17T19:09:31.339265+00:00,25261,256,42,none,,,
-LzoBh1nP7M,2026-07-17T19:09:31.339265+00:00,23730,722,11,none,2026-07-17T11:30:06Z,2026-07-17T11:36:14Z,
6sKU9oBuRR4,2026-07-17T19:09:31.339265+00:00,1213,14,0,none,,,
dTqX9bGcRo8,2026-07-17T19:09:31.339265+00:00,0,0,0,upcoming,,,
-yL_2AGftLQ,2026-07-17T19:09:31.339265+00:00,316,3,1,none,2026-07-17T05:44:21Z,2026-07-17T06:20:15Z,
wqWwFi2-h4Q,2026-07-17T19:09:31.339265+00:00,2257,24,12,none,,,
bfAzN--4RP4,2026-07-17T19:09:31.339265+00:00,2313,35,1,none,,,
0lzL3Q7f5Lw,2026-07-17T19:09:31.339265+00:00,161,2,0,none,,,
