channel_id,title,category,country,subscriber_count,tier_hint
UCkpPjuYaBYD3-PMU_9lL8kw,Uplift Education - Sri Lanka,Education,LK,12800,mid
UCFDnbOsMMforDuli8Lm8Zaw,E Education Sri Lanka,Education,US,77700,mid
UCCY9JH9HJoXtuBdXaGeN06w,ILTS Overseas Education,Education,NZ,55600,mid
UCah-EdADo1s1jEPNMM0WvLg,Sri Lanka Education,Education,LK,7470,small
UC9jFFLKWirEIBYMPHtjcJmA,Sinhala Education TV,Education,LK,2450,small
UCwfYwMMgj80VIW8fHH-Q42g,NCC EDUCATION_SRI LANKA,Education,LK,2280,small
UCNTW8SxukAe8X2KKQZkvyWA,SL Education,Education,,7760,small
UCutW5lD0YQUD8Z3xMKBkv1Q,Ministry of Education Sri Lanka,Education,,3180,small
UCu7BL-lajtjd42QuNqV3kiQ,ATN Education,Education,LK,5290,small
UCuw8HxsyF6wUeptyhhZaB6g,Education Lanka,Education,LK,5990,small
UCmvrdaSYX8PlZO09bHDp4PQ,FREE EDUCATION SRI LANKA,Education,LK,4050,small
UCLkc4K5KgT0zqcT0x4uXX7Q,Mercy Education Campus,Education,US,4830,small
UC2ya22E7myYwZB4BPbUsPtw,Sri Lanka Cricket Coach Education,Education,LK,5400,small
UC86pHmODF9apAFq1YT_XeGQ,Sri Lanka Entertainment,Entertainment,LK,3,below_threshold
UCutmrRvwb1ec4FmYIXb7odg,Sri lanka Entertainment,Entertainment,,2,below_threshold
UC-7c9Ec5rOJix7uYJ0dIrLg,Sri Lanka Entertainment,Entertainment,GB,,below_threshold
UCk6PiraWxQbeBL1ytayDvRg,Sri lanka Entertainment,Entertainment,,8,below_threshold
UCt_Hj_EozsfqDjJtH1nroMA,StepUp Entertainment,Entertainment,,1230,below_threshold
UC12ZTj8klKOLs6vmJO_vWkQ,Anythink Podcast,Entertainment,LK,1300,below_threshold
UC_q4jmKoF4FfB43jwAqpm2Q,Skylark Entertainment,Entertainment,LK,440,below_threshold
