channel_id,title,category,size_tier,country,subscriber_count,channel_created_at,uploads_playlist_id,flags
UCgnFSj7jQffD5V5m05j4dPw,Newsfirst Sri Lanka,News & Politics,mega,LK,3150000,2011-07-02T17:12:55Z,UUgnFSj7jQffD5V5m05j4dPw,
UCQTcNhAZidy1i9wwmdgf2Lw,ITN Sri Lanka,News & Politics,mega,LK,3240000,2018-03-02T06:03:22Z,UUQTcNhAZidy1i9wwmdgf2Lw,
