horizon_days,components,weights,selected_n_estimators,cross_fitted_oof_wape_pct,cross_fitted_oof_total_view_capture_pct,cross_fitted_oof_top_decile_view_capture_pct,cross_fitted_oof_rmsle,model_path,model_sha256
7,log_squared_filtered,1.00,90,92.95373919142517,17.778203667823757,8.071388664288232,1.9865720607659254,models\day_7_ensemble.joblib,0c207ddf2805018c2d9a055dc1d2f00a84164ce4861fb10c2380c80b9a6ab904
14,log_squared_filtered|raw_absolute,0.25|0.75,87|42,93.78009909828378,21.757757666253077,10.160324496009757,2.04642788177469,models\day_14_ensemble.joblib,2fcb6dfa079f208880f37dddce3990307a98e4dc51c816ba866ebd5bd6b1b81e
21,log_squared_filtered|raw_absolute,0.23|0.77,223|31,92.6499337495904,25.58963192961674,12.744652692671968,2.1756650043295664,models\day_21_ensemble.joblib,daefea022ad7d6a538589922f4bddf14e490e119fd51e2c60e8306b8c392941a
30,log_squared_all_rows|raw_absolute,0.56|0.44,231|32,92.5327386633927,19.938745267101815,8.809261261972456,2.0844413751760653,models\day_30_ensemble.joblib,90b749e1f7f9fd51ae1e6a871d67c233d58fda192be28c15457f4a708268fb2f
