horizon,feature,kind,value,count,percent,rank
day_7,publish_time_bucket,categorical,early_morning,1321,6.393069738179355,4
day_7,topic_entertainment,boolean,False,16419,79.46087209020955,1
day_7,topic_entertainment,boolean,True,4244,20.539127909790448,2
day_7,topic_fashion,boolean,False,20479,99.10951943086677,1
day_7,topic_fashion,boolean,True,184,0.8904805691332334,2
day_7,topic_food,boolean,False,20220,97.85607123844554,1
day_7,topic_food,boolean,True,443,2.1439287615544695,2
day_7,topic_gaming,boolean,False,19701,95.34433528529256,1
day_7,topic_gaming,boolean,True,962,4.655664714707448,2
day_7,topic_health,boolean,False,20481,99.11919856748779,1
day_7,topic_health,boolean,True,182,0.8808014325122199,2
day_7,topic_hobby,boolean,False,20197,97.74476116730388,1
day_7,topic_hobby,boolean,True,466,2.2552388326961235,2
day_7,topic_humour,boolean,False,20508,99.24986691187146,1
day_7,topic_humour,boolean,True,155,0.750133088128539,2
day_7,topic_knowledge,boolean,False,19479,94.26995112036006,1
day_7,topic_knowledge,boolean,True,1184,5.730048879639936,2
day_7,topic_lifestyle,boolean,False,18615,90.08856410008227,1
day_7,topic_lifestyle,boolean,True,2048,9.911435899917727,2
day_7,topic_music,boolean,False,18810,91.03227992063108,1
day_7,topic_music,boolean,True,1853,8.96772007936892,2
day_7,topic_pet,boolean,False,20498,99.2014712287664,1
day_7,topic_pet,boolean,True,165,0.798528771233606,2
day_7,topic_politics,boolean,False,12666,61.297972220877895,1
day_7,topic_politics,boolean,True,7997,38.702027779122105,2
day_7,topic_religion,boolean,False,19761,95.63470938392295,1
day_7,topic_religion,boolean,True,902,4.365290616077046,2
day_7,topic_society,boolean,False,19403,93.90214392876156,1
day_7,topic_society,boolean,True,1260,6.0978560712384455,2
day_7,topic_sports,boolean,False,20122,97.38179354401588,1
day_7,topic_sports,boolean,True,541,2.6182064559841263,2
day_7,topic_technology,boolean,False,20267,98.08353094903934,1
day_7,topic_technology,boolean,True,396,1.9164690509606543,2
day_7,topic_tourism,boolean,False,19857,96.0993079417316,1
day_7,topic_tourism,boolean,True,806,3.9006920582684024,2
day_7,topic_vehicle,boolean,False,20049,97.02850505734888,1
day_7,topic_vehicle,boolean,True,614,2.9714949426511157,2
day_7,topic_missing,boolean,False,20578,99.58863669360693,1
day_7,topic_missing,boolean,True,85,0.4113633063930697,2
day_14,category_name,categorical,News & Politics,5038,32.119859738603765,1
day_14,category_name,categorical,Entertainment,2000,12.75103602167676,2
day_14,category_name,categorical,Education,1919,12.234619062798853,3
day_14,category_name,categorical,Music,1195,7.618744022951865,4
day_14,category_name,categorical,Travel & Events,1060,6.758049091488683,5
day_14,category_name,categorical,People & Blogs,919,5.859101051960471,6
day_14,category_name,categorical,Gaming,840,5.35543512910424,7
day_14,category_name,categorical,Howto & Style,434,2.7669748167038573,8
day_14,category_name,categorical,Sports,400,2.550207204335352,9
day_14,category_name,categorical,Autos & Vehicles,374,2.384443736053554,10
day_14,category_name,categorical,Comedy,370,2.358941664010201,11
day_14,category_name,categorical,Film & Animation,362,2.307937519923494,12
day_14,category_name,categorical,Pets & Animals,356,2.2696844118584636,13
day_14,category_name,categorical,Science & Technology,306,1.9509085113165445,14
day_14,category_name,categorical,<MISSING>,112,0.7140580172138986,15
day_14,is_short,boolean,False,9700,61.84252470513229,1
day_14,is_short,boolean,True,5985,38.15747529486771,2
day_14,definition,categorical,hd,15155,96.62097545425566,1
day_14,definition,categorical,sd,530,3.3790245457443415,2
day_14,caption,boolean,False,15653,99.79598342365317,1
day_14,caption,boolean,True,32,0.20401657634682818,2
day_14,made_for_kids,boolean,False,15637,99.69397513547976,1
day_14,made_for_kids,boolean,True,48,0.30602486452024225,2
day_14,default_language,categorical,si,10030,63.94644564870896,1
day_14,default_language,categorical,en,4267,27.20433535224737,2
day_14,default_language,categorical,en-US,628,4.003825310806503,3
day_14,default_language,categorical,ta,366,2.3334395919668474,4
day_14,default_language,categorical,en-GB,321,2.0465412814791204,5
day_14,default_language,categorical,ja,15,0.09563277016257571,6
day_14,default_language,categorical,hi,10,0.06375518010838381,7
day_14,default_language,categorical,ar,10,0.06375518010838381,8
day_14,default_language,categorical,en-IN,6,0.03825310806503028,9
day_14,default_language,categorical,tr,5,0.031877590054191905,10
day_14,default_language,categorical,ro,5,0.031877590054191905,11
day_14,default_language,categorical,en-AU,4,0.025502072043353523,12
day_14,default_language,categorical,ru,4,0.025502072043353523,13
day_14,default_language,categorical,bn,2,0.012751036021676761,14
day_14,default_language,categorical,ab,2,0.012751036021676761,15
day_14,default_language,categorical,de-DE,1,0.006375518010838381,16
day_14,default_language,categorical,<MISSING>,1,0.006375518010838381,17
day_14,default_language,categorical,sk,1,0.006375518010838381,18
day_14,default_language,categorical,th,1,0.006375518010838381,19
day_14,default_language,categorical,ko,1,0.006375518010838381,20
day_14,default_language,categorical,az,1,0.006375518010838381,21
day_14,default_language,categorical,mt,1,0.006375518010838381,22
day_14,default_language,categorical,de,1,0.006375518010838381,23
day_14,default_language,categorical,hr,1,0.006375518010838381,24
day_14,default_language,categorical,fr,1,0.006375518010838381,25
day_14,publish_hour_slt,numeric_discrete,18,1150,7.331845712464138,1
day_14,publish_hour_slt,numeric_discrete,19,1149,7.325470194453299,2
day_14,publish_hour_slt,numeric_discrete,20,955,6.0886197003506535,3
day_14,publish_hour_slt,numeric_discrete,16,954,6.0822441823398155,4
day_14,publish_hour_slt,numeric_discrete,17,908,5.78897035384125,5
day_14,publish_hour_slt,numeric_discrete,15,889,5.66783551163532,6
day_14,publish_hour_slt,numeric_discrete,12,889,5.66783551163532,7
day_14,publish_hour_slt,numeric_discrete,14,872,5.5594517054510675,8
day_14,publish_hour_slt,numeric_discrete,21,826,5.2661778769525025,9
day_14,publish_hour_slt,numeric_discrete,10,775,4.941026458399745,10
day_14,publish_hour_slt,numeric_discrete,11,759,4.839018170226331,11
day_14,publish_hour_slt,numeric_discrete,13,755,4.813516098182977,12
day_14,publish_hour_slt,numeric_discrete,9,730,4.654128147912018,13
day_14,publish_hour_slt,numeric_discrete,8,698,4.4501115715651895,14
day_14,publish_hour_slt,numeric_discrete,22,683,4.354478801402614,15
day_14,publish_hour_slt,numeric_discrete,7,637,4.061204972904048,16
day_14,publish_hour_slt,numeric_discrete,6,478,3.0474976091807457,17
day_14,publish_hour_slt,numeric_discrete,23,465,2.964615875039847,18
day_14,publish_hour_slt,numeric_discrete,0,332,2.116671979598342,19
day_14,publish_hour_slt,numeric_discrete,1,245,1.5620019126554032,20
day_14,publish_hour_slt,numeric_discrete,5,237,1.5109977685686962,21
day_14,publish_hour_slt,numeric_discrete,2,128,0.8160663053873127,22
day_14,publish_hour_slt,numeric_discrete,4,103,0.6566783551163532,23
day_14,publish_hour_slt,numeric_discrete,3,68,0.4335352247370099,24
day_14,publish_dow_slt,numeric_discrete,0,3053,19.464456487089578,1
day_14,publish_dow_slt,numeric_discrete,6,2790,17.787695250239082,2
day_14,publish_dow_slt,numeric_discrete,4,2387,15.218361491871214,3
day_14,publish_dow_slt,numeric_discrete,1,2297,14.64456487089576,4
day_14,publish_dow_slt,numeric_discrete,5,2048,13.057060886197004,5
day_14,publish_dow_slt,numeric_discrete,3,1571,10.015938795027097,6
day_14,publish_dow_slt,numeric_discrete,2,1539,9.811922218680268,7
day_14,publish_is_weekend,boolean,False,10847,69.15524386356391,1
day_14,publish_is_weekend,boolean,True,4838,30.844756136436086,2
day_14,publish_time_bucket,categorical,morning_afternoon,6593,42.033790245457446,1
day_14,publish_time_bucket,categorical,evening,6005,38.284985655084476,2
day_14,publish_time_bucket,categorical,late_night,1974,12.585272553394963,3
day_14,publish_time_bucket,categorical,early_morning,1113,7.095951546063118,4
day_14,topic_entertainment,boolean,False,12475,79.53458718520879,1
day_14,topic_entertainment,boolean,True,3210,20.4654128147912,2
day_14,topic_fashion,boolean,False,15505,98.85240675804909,1
day_14,topic_fashion,boolean,True,180,1.1475932419509085,2
day_14,topic_food,boolean,False,15291,97.48804590372968,1
day_14,topic_food,boolean,True,394,2.511954096270322,2
day_14,topic_gaming,boolean,False,14746,94.01338858782276,1
day_14,topic_gaming,boolean,True,939,5.98661141217724,2
day_14,topic_health,boolean,False,15539,99.0691743704176,1
day_14,topic_health,boolean,True,146,0.9308256295824036,2
day_14,topic_hobby,boolean,False,15307,97.59005419190309,1
day_14,topic_hobby,boolean,True,378,2.409945808096908,2
day_14,topic_humour,boolean,False,15558,99.19030921262353,1
day_14,topic_humour,boolean,True,127,0.8096907873764744,2
day_14,topic_knowledge,boolean,False,14674,93.5543512910424,1
day_14,topic_knowledge,boolean,True,1011,6.445648708957603,2
day_14,topic_lifestyle,boolean,False,13972,89.07873764743385,1
day_14,topic_lifestyle,boolean,True,1713,10.921262352566146,2
day_14,topic_music,boolean,False,14040,89.51227287217087,1
day_14,topic_music,boolean,True,1645,10.487727127829135,2
day_14,topic_pet,boolean,False,15520,98.94803952821167,1
day_14,topic_pet,boolean,True,165,1.0519604717883329,2
day_14,topic_politics,boolean,False,10268,65.46381893528849,1
day_14,topic_politics,boolean,True,5417,34.536181064711506,2
day_14,topic_religion,boolean,False,14934,95.21198597386038,1
day_14,topic_religion,boolean,True,751,4.788014026139624,2
day_14,topic_society,boolean,False,14860,94.74019764105833,1
day_14,topic_society,boolean,True,825,5.259802358941664,2
day_14,topic_sports,boolean,False,15280,97.41791520561046,1
day_14,topic_sports,boolean,True,405,2.582084794389544,2
day_14,topic_technology,boolean,False,15289,97.475294867708,1
day_14,topic_technology,boolean,True,396,2.5247051322919987,2
day_14,topic_tourism,boolean,False,14985,95.53713739241313,1
day_14,topic_tourism,boolean,True,700,4.4628626075868665,2
day_14,topic_vehicle,boolean,False,15183,96.79948995855914,1
day_14,topic_vehicle,boolean,True,502,3.200510041440867,2
day_14,topic_missing,boolean,False,15641,99.71947720752311,1
day_14,topic_missing,boolean,True,44,0.28052279247688877,2
day_21,category_name,categorical,News & Politics,4100,27.1523178807947,1
day_21,category_name,categorical,Education,2025,13.410596026490067,2
day_21,category_name,categorical,Entertainment,1898,12.56953642384106,3
day_21,category_name,categorical,Music,1575,10.43046357615894,4
day_21,category_name,categorical,Travel & Events,1021,6.76158940397351,5
day_21,category_name,categorical,Gaming,909,6.0198675496688745,6
day_21,category_name,categorical,People & Blogs,799,5.291390728476821,7
day_21,category_name,categorical,Howto & Style,470,3.1125827814569536,8
day_21,category_name,categorical,Autos & Vehicles,445,2.947019867549669,9
day_21,category_name,categorical,Comedy,378,2.5033112582781456,10
day_21,category_name,categorical,Film & Animation,359,2.377483443708609,11
day_21,category_name,categorical,Pets & Animals,346,2.2913907284768213,12
day_21,category_name,categorical,Sports,332,2.198675496688742,13
day_21,category_name,categorical,Science & Technology,317,2.0993377483443707,14
day_21,category_name,categorical,<MISSING>,126,0.8344370860927153,15
